Array Size,Binary Search Tree Time,Red-Black Tree Time,Hash Table Time,Hash Table Collisions,Multimap Time
100,0.0000000000,0.0000996000,0.0000997000,34,0.0000998000
11200,0.0129659000,0.0104687000,0.0107690000,9818,0.0200454000
22300,0.0275254000,0.0232828000,0.0229401000,20879,0.0428900000
33400,0.0426852000,0.0366030000,0.0333130000,31961,0.0657215000
44500,0.0591308000,0.0484706000,0.0437750000,43051,0.0886705000
55600,0.0758963000,0.0627866000,0.0531545000,54145,0.1125599000
66700,0.0928458000,0.0768994000,0.0669268000,65240,0.1419732000
77800,0.1126023000,0.0966447000,0.0787380000,76335,0.1677511000
88900,0.1320476000,0.1071123000,0.0881232000,87430,0.1912867000
100000,0.1485036000,0.1243660000,0.0994384000,98527,0.2190647000
